warehouse,product_id,inventory_id,inventory_cases,reorder_level,last_updated
Los Angeles DC,1027,27,777,689,2025-07-01
Los Angeles DC,1028,28,4151,508,2025-07-01
Los Angeles DC,1029,29,4671,995,2025-07-01
Los Angeles DC,1030,30,1709,379,2025-07-01
Los Angeles DC,1031,31,137,368,2025-07-01
Los Angeles DC,1032,32,1451,616,2025-07-01
Los Angeles DC,1033,33,835,518,2025-07-01
Los Angeles DC,1034,34,2051,711,2025-07-01
Phoenix DC,1001,137,4262,948,2025-07-01
Phoenix DC,1002,138,1740,742,2025-07-01
Phoenix DC,1003,139,1966,579,2025-07-01
Phoenix DC,1004,140,472,902,2025-07-01
Phoenix DC,1005,141,4014,873,2025-07-01
Phoenix DC,1006,142,1654,840,2025-07-01
Phoenix DC,1007,143,3372,595,2025-07-01
Phoenix DC,1008,144,861,768,2025-07-01
Phoenix DC,1009,145,2968,418,2025-07-01
Phoenix DC,1010,146,2026,853,2025-07-01
Phoenix DC,1011,147,3340,642,2025-07-01
Phoenix DC,1012,148,826,938,2025-07-01
Phoenix DC,1013,149,3852,429,2025-07-01
Phoenix DC,1014,150,552,852,2025-07-01
Phoenix DC,1015,151,3488,437,2025-07-01
Phoenix DC,1016,152,4451,520,2025-07-01
Phoenix DC,1017,153,1237,749,2025-07-01
Phoenix DC,1018,154,4208,213,2025-07-01
Phoenix DC,1019,155,2365,579,2025-07-01
Phoenix DC,1020,156,2677,531,2025-07-01
Phoenix DC,1022,158,1844,727,2025-07-01
Phoenix DC,1023,159,4500,239,2025-07-01
Phoenix DC,1024,160,4091,435,2025-07-01
Phoenix DC,1025,161,876,763,2025-07-01
Phoenix DC,1026,162,3021,843,2025-07-01
Phoenix DC,1027,163,4714,594,2025-07-01
Phoenix DC,1028,164,2531,479,2025-07-01
Phoenix DC,1029,165,2638,421,2025-07-01
Phoenix DC,1030,166,4063,264,2025-07-01
Phoenix DC,1031,167,3526,407,2025-07-01
Phoenix DC,1032,168,1717,389,2025-07-01
Phoenix DC,1033,169,502,437,2025-07-01
Phoenix DC,1034,170,3777,935,2025-07-01
